id_type,price,address,number_of_part,img_link
location,3500000,"Almadies, Dakar, Sénégal",10,https://images.coinafrique.com/thumb_5041919_uploaded_image1_1731508192.jpg
Vente,16500000,"Keur Massar, Sénégal",7,https://images.coinafrique.com/thumb_5041872_uploaded_image1_1731506066.jpg
Vente,25000000,"Keur Massar, Sénégal",4,https://images.coinafrique.com/thumb_5041446_uploaded_image1_1731490849.jpg
Location,150000,"Keur Massar, Sénégal",5,https://images.coinafrique.com/thumb_5040739_uploaded_image1_1731442367.jpg
Vente,300000000,"Medina, Dakar, Sénégal",12,https://images.coinafrique.com/thumb_5040609_uploaded_image1_1731436324.jpg
Location,349622698,"Mbao, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5038891_uploaded_image1_1731357972.jpg
Vente,91000000,"Keur Massar, Sénégal",5,https://images.coinafrique.com/thumb_5038222_uploaded_image1_1731331858.jpg
Vente,135000000,"Grand Yoff, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5037688_uploaded_image1_1731317490.jpg
Vente,35000000,"Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5036868_uploaded_image1_1731259073.jpg
Vente,85000000,"Ngaparou, Sénégal",4,https://images.coinafrique.com/thumb_4992699_uploaded_image1_1728901877.jpg
Location,1300009,"Almadies, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4992480_uploaded_image1_1728894982.jpg
Location,3000000,"Fann, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_4992447_uploaded_image1_1728893563.jpg
Vente,70000000,"Dakar, Sénégal",15,https://images.coinafrique.com/thumb_4991918_uploaded_image1_1728851757.jpg
Vente,349622698,"Keur Massar, Sénégal",16,https://images.coinafrique.com/thumb_5035903_uploaded_image1_1731186230.jpg
Vente,195000000,"Mbour, Sénégal",5,https://images.coinafrique.com/thumb_5035747_uploaded_image1_1731177291.jpg
Vente,99000000,"Saly, Sénégal",3,https://images.coinafrique.com/thumb_5035423_uploaded_image1_1731159969.jpg
Location,1900000,"Fann, Dakar, Sénégal",10,https://images.coinafrique.com/thumb_5034007_uploaded_image1_1731079584.jpg
Location,349622698,"Fann, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4989947_uploaded_image1_1728732445.jpg
Location,500000,"Sicap Liberté, Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5009204_uploaded_image1_1729770067.jpg
Vente,195000000,"Ngaparou, Sénégal",5,https://images.coinafrique.com/thumb_5032648_uploaded_image1_1731021025.jpg
Location,3000000,"Almadies, Dakar, Sénégal",15,https://images.coinafrique.com/thumb_4989101_uploaded_image1_1728665471.jpg
Location,1400000,"Almadies, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4989068_uploaded_image1_1728664385.jpg
Vente,40000000,"Mbao, Dakar, Sénégal",3,https://images.coinafrique.com/thumb_5031960_uploaded_image1_1730994646.jpg
Vente,140000000,"Mariste, Dakar, Sénégal",8,https://images.coinafrique.com/thumb_4984643_uploaded_image1_1728473823.jpg
Vente,30000000,"Thies, Sénégal",5,https://images.coinafrique.com/thumb_4984613_uploaded_image1_1728472722.jpg
Location,1700000,"Guediawaye, Dakar, Sénégal",13,https://images.coinafrique.com/thumb_4987226_uploaded_image1_1728576197.jpg
Vente,300000000,"Fann, Dakar, Sénégal",10,https://images.coinafrique.com/thumb_4987204_uploaded_image1_1728575546.jpg
Location,1000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5030278_uploaded_image1_1730910961.jpg
Location,550000,"Almadies, Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5029892_uploaded_image1_1730899843.jpg
Vente,90000000,"Saint Louis, Sénégal",5,https://images.coinafrique.com/thumb_5029614_uploaded_image1_1730892172.jpg
Vente,215000000,"Grand Yoff, Dakar, Sénégal",2,https://images.coinafrique.com/thumb_5029463_uploaded_image1_1730887299.jpg
Location,349622698,"Almadies, Dakar, Sénégal",20,https://images.coinafrique.com/thumb_4982254_uploaded_image1_1728371541.jpg
