web-scraper-order,web-scraper-start-url,terrains_links,terrains_links-href,area,price,address,images_links
1732755266-931,https://sn.coinafrique.com/categorie/terrains?page=108,Vente terrains 296 m² - Mariste,https://sn.coinafrique.com/annonce/terrains/vente-terrains-296-m-mariste-2852569,296,75 000 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2852569_uploaded_image1_1608938939.jpg""); width: 467px;"
1732755271-932,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 159m²  - Mariste,https://sn.coinafrique.com/annonce/terrains/vente-terrain-159m-mariste-2852573,159,55 000 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2852573_uploaded_image1_1608939162.jpg""); width: 467px;"
1732755274-933,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 150 m² - Dakar,https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-dakar-2852607,150,13 500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2852607_uploaded_image1_1608941998.jpg""); width: 369px;"
1732755278-934,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain Diass,https://sn.coinafrique.com/annonce/terrains/vente-terrain-diass-2852622,150,4 000 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2852622_uploaded_image1_1608943521.jpg""); width: 601px;"
1732755283-935,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrains - Nord Foire,https://sn.coinafrique.com/annonce/terrains/vente-terrains-nord-foire-2853049,200 m2,57 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2853049_uploaded_image1_1608981248.jpg""); width: 473px;"
1732755288-936,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrains 150m² - Kounoune,https://sn.coinafrique.com/annonce/terrains/vente-terrains-150m-kounoune-2853054,150 m2,6 500 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2853054_uploaded_image1_1608981489.jpg""); width: 473px;"
1732755292-937,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 300 m² - Diass,https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-diass-2853290,300,4 000 000 CFA,"Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2853290_uploaded_image1_1608989385.jpg""); width: 373px;"
1732755296-938,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 150 m² - Parcelles Assainies,https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-parcelles-assainies-2853306,150,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2853306_uploaded_image1_1608990243.jpg""); width: 422px;"
1732755300-939,https://sn.coinafrique.com/categorie/terrains?page=108,Vente terrain 600 m²  - Ndiass,https://sn.coinafrique.com/annonce/terrains/vente-terrain-600-m-ndiass-2853311,600,7 000 000 CFA,"Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2853311_uploaded_image1_1608990367.jpg""); width: 373px;"
1732755305-940,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain - Diass,https://sn.coinafrique.com/annonce/terrains/vente-terrain-diass-2853668,225 m2,2 500 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2853668_uploaded_image1_1609001717.jpg""); width: 443px;"
1732755308-941,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrains - Lac Rose,https://sn.coinafrique.com/annonce/terrains/vente-terrains-lac-rose-2853904,150 m2,2 000 000 CFA,"Bargny, Sénégal","background-image: url(""https://images.coinafrique.com/2853904_uploaded_image1_1609012729.jpg""); width: 576px;"
1732755312-942,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 600 m² - Ndiass,https://sn.coinafrique.com/annonce/terrains/vente-terrain-600-m-ndiass-2854131,600,7 000 000 CFA,"Ndiass, Sénégal","background-image: url(""https://images.coinafrique.com/2854131_uploaded_image1_1609023776.jpg""); width: 373px;"
1732755317-943,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 150 m² - Almadies 2,https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-almadies-2-2854156,150,21 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2854156_uploaded_image1_1609026246.jpg""); width: 555px;"
1732755321-944,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 150 m² - Almadies 2 Sédima,https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-almadies-2-sedima-2854160,150,21 000 000 CFA,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2854160_uploaded_image1_1609026547.jpg""); width: 555px;"
1732755324-945,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrains - Lac Rose,https://sn.coinafrique.com/annonce/terrains/vente-terrains-lac-rose-2854448,150 m2,2 700 000 CFA,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2854448_uploaded_image1_1609057481.jpg""); width: 414px;"
1732755328-946,https://sn.coinafrique.com/categorie/terrains?page=108,Vente terrain 1200m² - Mbodiene,https://sn.coinafrique.com/annonce/terrains/vente-terrain-1200m-mbodiene-2854739,110200 m2,Prix sur demande,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2854739_uploaded_image1_1609072468.jpg""); width: 369px;"
1732755331-947,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 1158m² - Fann Résidence,https://sn.coinafrique.com/annonce/terrains/vente-terrain-1158m-fann-residence-2854928,1158 m2,1 500 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2854928_uploaded_image1_1609082141.jpg""); width: 604px;"
